file_id,file_name,case_id
b6eda0bb-5d08-45b4-9fbb-2fdd07db8169,9cde93c5-569a-482a-901b-2bbc21aadfa2.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A5GU
264c2801-550b-4087-bd92-8157753a226b,b8f68a8a-46f3-4c79-8474-13815946d4f9.rna_seq.augmented_star_gene_counts.tsv,TCGA-EB-A44P
77e14e11-91e8-4201-b837-a2fe46623b00,d2c9b21d-0f64-4182-9d5d-82b80a158a1f.rna_seq.augmented_star_gene_counts.tsv,TCGA-EB-A4OY
569b8c86-9e1c-4c15-b78a-a91c39cdce45,beb52b13-584a-4227-abe8-9861c3388c14.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A29E
5a9aae7b-4e56-4109-a744-ee851856372f,7d3b4d06-1249-4a85-a66a-387d4e2e2cb2.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A2MJ
c1bcb350-5ad0-4cee-bf2c-a85cb2b014b2,d34723c1-230c-45c3-9621-b2ef5919f244.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A51E
ae6459b2-07ab-4811-a0f1-a693a6a79953,fc68896b-f13f-4478-8573-3e18c64c3a2b.rna_seq.augmented_star_gene_counts.tsv,TCGA-GN-A4U3
46b8b1b4-8793-4438-8d5e-9295368f0f7e,ee0e68bf-7fa0-4edc-a9df-30a63c2db34a.rna_seq.augmented_star_gene_counts.tsv,TCGA-FW-A5DY
69df044b-cac2-46e9-b28a-e3264c48b468,59c50e1e-fc77-441e-93c2-f69c013f362c.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A3MO
6e7ab4c9-511c-419d-954b-86057808646e,b4f1e5a5-061a-498b-aadc-bd568f0e4f87.rna_seq.augmented_star_gene_counts.tsv,TCGA-LH-A9QB
468624ba-36df-475c-ad9c-9be37ef010f3,034df4c4-52bd-4025-aee4-ad630d0d00af.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A3AH
0d4fceab-190d-4e98-93b5-6c86c6988e2e,e7c14078-b85e-40b8-9f56-9474543905eb.rna_seq.augmented_star_gene_counts.tsv,TCGA-BF-A5ER
f0a81e8e-5ada-46dd-b4a3-de6f9cb9f04a,0edf46a2-3dfb-4bae-b642-281e05975bd1.rna_seq.augmented_star_gene_counts.tsv,TCGA-FS-A1ZC
8fe8d73d-2aef-4bfe-adf1-f0a0d0fa2692,065d8d7a-c241-4a24-8f77-2cb5a4341f35.rna_seq.augmented_star_gene_counts.tsv,TCGA-GN-A4U9
a3b94365-2a03-4dff-a776-c97c74273d54,52ed30fb-f32a-4b5b-9ab6-e67438e9da8f.rna_seq.augmented_star_gene_counts.tsv,TCGA-D9-A3Z4
fea970e9-b09c-439c-9b4c-da5f5331643a,264656b8-d45c-4f5c-a431-366c566296fe.rna_seq.augmented_star_gene_counts.tsv,TCGA-GN-A262
cdcbb78a-d1e1-4422-b38b-ef7b6f044f53,f5e6497a-ed39-408d-9034-a965baaafbf7.rna_seq.augmented_star_gene_counts.tsv,TCGA-FS-A1ZS
c8d806cf-3298-4072-b800-19e9faa14f5c,c756a64a-a436-4d25-a9cf-a023b1d8a7a3.rna_seq.augmented_star_gene_counts.tsv,TCGA-ER-A3EV
a550e9b4-f276-4bb2-903c-8055fc96fa43,924ccfdb-f369-4b69-a034-bfbaf0878842.rna_seq.augmented_star_gene_counts.tsv,TCGA-FS-A1ZT
a3bf68fc-460f-49a2-a94e-4063537ab563,4ea93d27-97e3-40bd-8734-d026e48fbbe4.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A2JG
2ce33010-4c28-423d-99e0-e006d9a2985c,66ba9b68-dcc0-4c51-a8c8-b4016502973d.rna_seq.augmented_star_gene_counts.tsv,TCGA-HR-A2OG
b6c72061-cab4-4aef-bd33-3b0b4881bed2,16ab68fd-4948-4cd5-b5d8-1b2e8a1fd3cb.rna_seq.augmented_star_gene_counts.tsv,TCGA-FS-A4F4
f6dcffb7-a807-422c-86da-3271de2ebec3,d5610bbc-93c5-4ca5-b687-f955d1b84c92.rna_seq.augmented_star_gene_counts.tsv,TCGA-ER-A198
758998a9-f7d9-4e18-87de-d264754211b3,c7d31245-5d71-4a23-8a33-4f83c4718e20.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A5GT
21e2be3e-592f-4120-b234-cefa0e34427a,09f758e5-6be1-4f29-ac92-869d92f8fbcf.rna_seq.augmented_star_gene_counts.tsv,TCGA-DA-A1I0
96256b46-8d98-4ab3-aa8d-af99480a6ab3,d708a0d7-edda-46a8-b717-1b48c073c828.rna_seq.augmented_star_gene_counts.tsv,TCGA-FS-A1Z0
33e60d79-ee3d-4e8f-8a7b-6dcc2f69152d,156a3def-5866-4be4-ad0b-61b957d5b6eb.rna_seq.augmented_star_gene_counts.tsv,TCGA-FS-A1ZH
a2ae73d6-cf18-4450-89b1-c3273272896c,bd9c63e1-a1cb-4b2f-a909-839ce2fd8618.rna_seq.augmented_star_gene_counts.tsv,TCGA-GN-A4U8
d0c42dcd-73f9-47f4-b18c-285ece825e1d,8683d8f5-bba5-40a1-a460-ad6183d2302b.rna_seq.augmented_star_gene_counts.tsv,TCGA-EB-A5SH
0bbe1ae0-71cc-4a7f-b7cf-80154249b326,aa5bae83-33a0-4b75-a52d-7ba53267f6d3.rna_seq.augmented_star_gene_counts.tsv,TCGA-GN-A4U8
defe5fb5-4dd8-4fc7-9cce-534bb5190357,a6105a18-de2b-470c-bbb1-8c1188c57e22.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A1Q8
abec8314-9a0d-4807-9d53-b5e105ed3f6b,004064de-0e10-491d-b3d8-bc628a8f70a8.rna_seq.augmented_star_gene_counts.tsv,TCGA-GN-A268
698a72de-c0b0-4a97-b2a4-9acf4df06db8,a8736e1b-c036-42fd-b8d1-558724484f68.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A5GS
bdd5f0a7-3284-4ad9-9b42-3b7ee5863679,21e66f0f-e49d-4e75-bc70-f1d248c1b947.rna_seq.augmented_star_gene_counts.tsv,TCGA-ER-A19T
b487aab5-b70d-4f9f-8b19-8efeaa420b3a,e598b2c1-abeb-4421-acf8-79fe3d507ef8.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A2MN
cebcd3ab-a574-4504-8007-2d12d92d5e55,d01f4531-b145-414b-bc1c-0f1a148b771e.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A29M
ed10b8f7-46a7-45b2-98e0-966b485d3dac,b35a4a43-866d-4781-a4a8-9e2e728202ba.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A2ML
262c1310-3584-4356-b0d4-3b4a6093c0f5,cc1c7e4b-89a0-4d94-b9e5-293c2eacadd9.rna_seq.augmented_star_gene_counts.tsv,TCGA-GN-A8LK
50bbbefe-3eba-4562-be2f-870b7deab4db,1af0bfa7-8beb-499f-a658-ed1dd9fdb701.rna_seq.augmented_star_gene_counts.tsv,TCGA-D9-A4Z5
04f94e10-a3b8-4eac-9dfd-0745571698a0,25f272b8-11f5-4edc-9c54-f4115fc0a5de.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A3MV
aa5243e6-ef02-4940-8dbb-be91b7914863,12256b85-6662-41b3-a5d4-890ced0222e5.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A20H
ffcf6ae1-5491-43cb-9b66-54addaa56362,d93b1580-c20d-4611-ac99-c0cb33f37a45.rna_seq.augmented_star_gene_counts.tsv,TCGA-EB-A5SF
86955b55-77b1-41aa-8103-2b8bb284dff9,0ec02d90-7ccb-476e-a8bb-9a9c8f158dee.rna_seq.augmented_star_gene_counts.tsv,TCGA-BF-AAP0
6c68991a-819b-4d2f-ab04-eed0fd6e7aa9,3bb03dc9-6daf-42ef-95d6-cdf726f926e8.rna_seq.augmented_star_gene_counts.tsv,TCGA-EB-A5FP
d23b62de-cf67-4547-9041-27d447b6598e,49319954-0844-4fbc-a931-df0e4cdbcb14.rna_seq.augmented_star_gene_counts.tsv,TCGA-W3-AA1O
e546a2d2-245b-4508-9b45-5817f3662043,87a582d2-22f0-4d22-8d2d-8fec2f1e7e8f.rna_seq.augmented_star_gene_counts.tsv,TCGA-FS-A1Z7
14b53b83-c7ad-40ec-b131-908cc76f7d41,de751aae-bc7a-4d70-9d06-4417be4facae.rna_seq.augmented_star_gene_counts.tsv,TCGA-ER-A19C
ac71179d-766b-43e4-8cd4-04c6b63a70e1,7cd1f8af-7c1d-4a56-a617-b8debf493122.rna_seq.augmented_star_gene_counts.tsv,TCGA-Z2-AA3S
b4e25212-c925-4cc2-b335-c047b40b1b72,f81935a9-10ff-4ea7-8f22-b78b842a00f1.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A2A6
4185651f-b3cf-46a0-8108-f1609bcb37bc,d3be84d5-9dd7-4366-9aea-532dc76f19ba.rna_seq.augmented_star_gene_counts.tsv,TCGA-D9-A6E9
b67d64a1-f19f-47ca-b22d-31ac89cb9e43,20679021-a108-4728-ab9a-fa3ca2fed0d0.rna_seq.augmented_star_gene_counts.tsv,TCGA-WE-A8K6
fe379273-286e-4e32-9d66-bdbea6340e66,b2ea247e-4d51-4d77-a1ef-281bf4dfe249.rna_seq.augmented_star_gene_counts.tsv,TCGA-DA-A1I2
b2326886-2b2a-4fef-b540-6aede1219c10,1b0a23c2-785d-4a14-b673-86c97ceff401.rna_seq.augmented_star_gene_counts.tsv,TCGA-EB-A6R0
4f85f74b-2f5f-4529-aef2-2467f4e13290,dfc53815-0784-48c7-84aa-f23d087a13df.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A8GP
df0c6c78-bbd5-4277-aa8c-baed39c22c5b,b1699698-8012-433d-9128-2e43158ec048.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A3AB
b36ebb94-8ea7-4ce6-8d16-83af643fb2bf,b09c5d28-8a02-4343-b678-07cbf351ed44.rna_seq.augmented_star_gene_counts.tsv,TCGA-FS-A1ZK
2716fe1d-01ab-43b1-9f3b-cbc1ce9c7cbc,22f63ce0-5364-48b0-b424-5b971a1dcd33.rna_seq.augmented_star_gene_counts.tsv,TCGA-BF-A1PX
be14c489-c096-41fc-a3e3-be5a2cac97e9,85d43afd-9aac-48ca-a9c4-00357b7207e1.rna_seq.augmented_star_gene_counts.tsv,TCGA-BF-A9VF
f60d9aed-560f-4325-8423-b0ed5c7e7fcc,004589d9-7eb6-46cb-b822-20cd1939aa7e.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A2MF
